flight_id,route,origin,destination,date,ticket_price,seats_available,seats_sold,occupancy_rate,flight_duration_hrs,revenue,season,flight_type
F001,DEL-BOM,Delhi,Mumbai,2024-01-05,4500,180,162,0.90,2.1,729000,Winter,Domestic
F002,BOM-BLR,Mumbai,Bangalore,2024-01-06,3200,150,120,0.80,1.5,384000,Winter,Domestic
F003,DEL-CCU,Delhi,Kolkata,2024-01-07,5100,200,188,0.94,2.5,958800,Winter,Domestic
F004,BLR-HYD,Bangalore,Hyderabad,2024-01-08,2800,120,96,0.80,1.0,268800,Winter,Domestic
F005,DEL-BOM,Delhi,Mumbai,2024-01-09,4700,180,171,0.95,2.1,803700,Winter,Domestic
F006,MUM-GOA,Mumbai,Goa,2024-01-10,6200,160,152,0.95,1.2,942400,Winter,Domestic
F007,DEL-DXB,Delhi,Dubai,2024-01-11,18500,300,270,0.90,3.5,4995000,Winter,International
F008,BOM-LHR,Mumbai,London,2024-01-12,52000,280,224,0.80,9.5,11648000,Winter,International
F009,DEL-SIN,Delhi,Singapore,2024-01-13,22000,250,225,0.90,5.5,4950000,Winter,International
F010,BLR-DXB,Bangalore,Dubai,2024-01-14,17000,200,180,0.90,4.0,3060000,Winter,International
F011,DEL-BOM,Delhi,Mumbai,2024-02-01,4200,180,144,0.80,2.1,604800,Winter,Domestic
F012,BOM-BLR,Mumbai,Bangalore,2024-02-05,3500,150,135,0.90,1.5,472500,Winter,Domestic
F013,DEL-CCU,Delhi,Kolkata,2024-02-10,4900,200,170,0.85,2.5,833000,Winter,Domestic
F014,BLR-HYD,Bangalore,Hyderabad,2024-02-12,2600,120,84,0.70,1.0,218400,Winter,Domestic
F015,MUM-GOA,Mumbai,Goa,2024-02-14,7500,160,160,1.00,1.2,1200000,Winter,Domestic
F016,DEL-DXB,Delhi,Dubai,2024-03-01,16000,300,240,0.80,3.5,3840000,Spring,International
F017,DEL-BOM,Delhi,Mumbai,2024-03-05,4000,180,126,0.70,2.1,504000,Spring,Domestic
F018,BOM-LHR,Mumbai,London,2024-03-10,49000,280,196,0.70,9.5,9604000,Spring,International
F019,DEL-BOM,Delhi,Mumbai,2024-04-01,3800,180,117,0.65,2.1,444600,Spring,Domestic
F020,BOM-BLR,Mumbai,Bangalore,2024-04-05,3000,150,105,0.70,1.5,315000,Spring,Domestic
F021,DEL-CCU,Delhi,Kolkata,2024-04-10,4500,200,140,0.70,2.5,630000,Spring,Domestic
F022,BLR-HYD,Bangalore,Hyderabad,2024-04-15,2500,120,72,0.60,1.0,180000,Spring,Domestic
F023,MUM-GOA,Mumbai,Goa,2024-05-01,5500,160,112,0.70,1.2,616000,Summer,Domestic
F024,DEL-DXB,Delhi,Dubai,2024-05-10,15000,300,210,0.70,3.5,3150000,Summer,International
F025,DEL-BOM,Delhi,Mumbai,2024-05-20,3600,180,108,0.60,2.1,388800,Summer,Domestic
F026,DEL-BOM,Delhi,Mumbai,2024-06-01,3400,180,99,0.55,2.1,336600,Summer,Domestic
F027,BOM-BLR,Mumbai,Bangalore,2024-06-10,2800,150,90,0.60,1.5,252000,Summer,Domestic
F028,DEL-SIN,Delhi,Singapore,2024-06-15,20000,250,175,0.70,5.5,3500000,Summer,International
F029,BLR-DXB,Bangalore,Dubai,2024-06-20,16000,200,140,0.70,4.0,2240000,Summer,International
F030,DEL-BOM,Delhi,Mumbai,2024-07-05,5200,180,162,0.90,2.1,842400,Monsoon,Domestic
F031,BOM-BLR,Mumbai,Bangalore,2024-07-10,4000,150,135,0.90,1.5,540000,Monsoon,Domestic
F032,DEL-CCU,Delhi,Kolkata,2024-07-15,5800,200,180,0.90,2.5,1044000,Monsoon,Domestic
F033,DEL-DXB,Delhi,Dubai,2024-07-20,19000,300,285,0.95,3.5,5415000,Monsoon,International
F034,BOM-LHR,Mumbai,London,2024-08-01,55000,280,252,0.90,9.5,13860000,Monsoon,International
F035,MUM-GOA,Mumbai,Goa,2024-08-10,4800,160,128,0.80,1.2,614400,Monsoon,Domestic
F036,DEL-BOM,Delhi,Mumbai,2024-08-20,5500,180,171,0.95,2.1,940500,Monsoon,Domestic
F037,DEL-BOM,Delhi,Mumbai,2024-09-05,4900,180,162,0.90,2.1,793800,Monsoon,Domestic
F038,BLR-HYD,Bangalore,Hyderabad,2024-09-10,3200,120,102,0.85,1.0,326400,Monsoon,Domestic
F039,DEL-SIN,Delhi,Singapore,2024-09-15,21000,250,212,0.85,5.5,4462500,Monsoon,International
F040,BLR-DXB,Bangalore,Dubai,2024-09-20,17500,200,180,0.90,4.0,3150000,Monsoon,International
F041,DEL-BOM,Delhi,Mumbai,2024-10-01,5800,180,171,0.95,2.1,991800,Autumn,Domestic
F042,BOM-BLR,Mumbai,Bangalore,2024-10-10,4500,150,142,0.95,1.5,641250,Autumn,Domestic
F043,DEL-CCU,Delhi,Kolkata,2024-10-15,6200,200,194,0.97,2.5,1202800,Autumn,Domestic
F044,DEL-DXB,Delhi,Dubai,2024-10-20,21000,300,285,0.95,3.5,5985000,Autumn,International
F045,BOM-LHR,Mumbai,London,2024-11-01,58000,280,266,0.95,9.5,15428000,Autumn,International
F046,MUM-GOA,Mumbai,Goa,2024-11-10,9500,160,160,1.00,1.2,1520000,Autumn,Domestic
F047,DEL-BOM,Delhi,Mumbai,2024-11-20,6200,180,180,1.00,2.1,1116000,Autumn,Domestic
F048,DEL-BOM,Delhi,Mumbai,2024-12-01,7500,180,180,1.00,2.1,1350000,Winter,Domestic
F049,BOM-BLR,Mumbai,Bangalore,2024-12-10,5500,150,150,1.00,1.5,825000,Winter,Domestic
F050,DEL-DXB,Delhi,Dubai,2024-12-15,25000,300,300,1.00,3.5,7500000,Winter,International
F051,BOM-LHR,Mumbai,London,2024-12-20,65000,280,280,1.00,9.5,18200000,Winter,International
F052,DEL-SIN,Delhi,Singapore,2024-12-25,28000,250,250,1.00,5.5,7000000,Winter,International
F053,MUM-GOA,Mumbai,Goa,2024-12-28,12000,160,160,1.00,1.2,1920000,Winter,Domestic
F054,BLR-HYD,Bangalore,Hyderabad,2024-12-30,4500,120,120,1.00,1.0,540000,Winter,Domestic
F055,DEL-CCU,Delhi,Kolkata,2024-12-31,8500,200,200,1.00,2.5,1700000,Winter,Domestic
F056,DEL-BOM,Delhi,Mumbai,2025-01-03,6800,180,171,0.95,2.1,1162800,Winter,Domestic
F057,DEL-DXB,Delhi,Dubai,2025-01-07,22000,300,285,0.95,3.5,6270000,Winter,International
F058,BOM-LHR,Mumbai,London,2025-01-10,60000,280,252,0.90,9.5,15120000,Winter,International
F059,BLR-DXB,Bangalore,Dubai,2025-01-12,19000,200,190,0.95,4.0,3610000,Winter,International
F060,MUM-GOA,Mumbai,Goa,2025-01-15,10500,160,152,0.95,1.2,1596000,Winter,Domestic
